Port,Mode,AllowedVlan,AccessVlan,Status,Speed
topology/pod-1/node-1101/sys/phys-[eth1/2]/phys,trunk,"15,20-22,48,75,78,89,106,111-113,126,145,188,242-243,247-248",vlan-242,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/3]/phys,trunk,"16,19,27,30,43-47,49,65,68,79,103,121,123,125,127,180,191-192,194-198,205,220-231,238",vlan-227,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/4]/phys,trunk,"16,19,27,30,43-47,49,65,68,79,103,121,123,125,127,180,191-192,194-198,205,220-231,238",vlan-227,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/5]/phys,trunk,"6,23,74,76-77,80,104-105,177,179,187,239,244,249-250",vlan-179,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/6]/phys,trunk,"6,23,74,76-77,80,104-105,177,179,187,239,244,249-250",vlan-179,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/7]/phys,trunk,"3,50,52-57,59,70-71,83-85,88,90,98-102,107,110,119,128,138,154-155,172-173,178,181-182,200-203,207-214,216-218,232,234-235",vlan-202,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/8]/phys,trunk,"3,50,52-57,59,70-71,83-85,88,90,98-102,107,110,119,128,138,154-155,172-173,178,181-182,200-203,207-214,216-218,232,234-235",vlan-202,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/9]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/10]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/11]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/12]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/13]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/14]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/15]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/16]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/17]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/18]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/19]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/20]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/21]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/22]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/23]/phys,trunk,"3-35,38-62,64-81,83-107,110-128,131-174,177-203,205,207-214,216-218,220-232,234-235,238-242,244-254,257-260",vlan-242,up,10G
topology/pod-1/node-1101/sys/phys-[eth1/24]/phys,trunk,"3-35,38-62,64-81,83-107,110-128,131-174,177-203,205,207-214,216-218,220-232,234-235,238-242,244-254,257-260",vlan-242,up,10G
topology/pod-1/node-1101/sys/phys-[eth1/25]/phys,trunk,236-237,vlan-237,up,1G
